14102,"ｼﾖｳﾜﾃﾞﾝｺｳ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾖｺﾊﾏｼﾞｷﾞﾖｳｼﾖ","昭和電工　株式会社　横浜事業所","神奈川県","横浜市神奈川区","恵比須町","８番地","2218517","221  ","横浜中央",0,0,5
14102,"ﾁﾖﾀﾞｶｻｲｶｲｼﾞﾖｳﾎｹﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ ｶﾅｶﾞﾜｼﾞﾄﾞｳｼﾔｼﾃﾝ","千代田火災海上保険　株式会社　神奈川自動車支店","神奈川県","横浜市神奈川区","栄町","７－１","2218537","221  ","横浜中央",0,0,5
14102,"ﾄｳﾎｳﾃﾞﾝｷ ｶﾌﾞｼｷｶﾞｲｼﾔ","東邦電気　株式会社","神奈川県","横浜市神奈川区","羽沢町","１６３８－１","2218712","221  ","横浜中央",0,0,5
14102,"ﾆﾂｻﾝｼﾞﾄﾞｳｼﾔ","日産自動車","神奈川県","横浜市神奈川区","新子安","１丁目３３","2218623","221  ","横浜中央",0,0,5
14102,"ﾆﾂｻﾝｼﾞﾄﾞｳｼﾔ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾖｺﾊﾏｺｳｼﾞﾖｳ","日産自動車　株式会社　横浜工場","神奈川県","横浜市神奈川区","宝町","２番地","2208623","221  ","横浜中央",0,0,5
14102,"ﾆﾎﾝﾊﾂｼﾞﾖｳ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾖｺﾊﾏﾌﾞﾝｼﾂ","日本発条　株式会社　横浜分室","神奈川県","横浜市神奈川区","鶴屋町","３丁目３２－１","2218702","221  ","横浜中央",0,0,5
14102,"ﾋﾀﾁｷﾔﾋﾟﾀﾙ ｶﾌﾞｼｷｶﾞｲｼﾔ ｶﾅｶﾞﾜｼﾃﾝ","日立キャピタル　株式会社　神奈川支店","神奈川県","横浜市神奈川区","栄町","１－１","2218560","221  ","横浜中央",0,0,5
14102,"ﾏﾂｼﾀﾃﾞﾝｺｳ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾖｺﾊﾏｼﾖｳﾙ-ﾑ","松下電工　株式会社　横浜ショウルーム","神奈川県","横浜市神奈川区","片倉","１丁目２－２３","2218701","221  ","横浜中央",0,0,5
14102,"ﾐﾂﾋﾞｼｴﾝﾋﾟﾂ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾖｺﾊﾏｼﾞｷﾞﾖｳｼﾖ","三菱鉛筆　株式会社　横浜事業所","神奈川県","横浜市神奈川区","入江","２丁目５番１２号","2218550","221  ","横浜中央",0,0,5
14102,"ﾐﾂﾜﾃﾞﾝｷ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾖｺﾊﾏｼﾃﾝ","ミツワ電機　株式会社　横浜支店","神奈川県","横浜市神奈川区","反町","１丁目６－２","2218611","221  ","横浜中央",0,0,5
14102,"ﾒｲﾜｶﾝﾘ ｶﾌﾞｼｷｶﾞｲｼﾔ","明和管理　株式会社","神奈川県","横浜市神奈川区","鶴屋町","２丁目２１－８第一安田ビル","2218765","221  ","横浜中央",0,0,5
14102,"ﾖｺﾊﾏﾃｲｼﾝﾋﾞﾖｳｲﾝ","横浜逓信病院","神奈川県","横浜市神奈川区","西神奈川","１－１３－１０","2218798","221  ","横浜中央",0,0,5
14102,"ﾖｺﾊﾏﾏﾘﾉｽ ｶﾌﾞｼｷｶﾞｲｼﾔ","横浜マリノス　株式会社","神奈川県","横浜市神奈川区","新子安","１丁目１８－１","2218523","221  ","横浜中央",0,0,5
14103,"(ｶﾌﾞ) ｶﾝﾃﾞﾝｺｳ ｶﾅｶﾞﾜｼﾃﾝ","（株）　関電工　神奈川支店","神奈川県","横浜市西区","平沼","１丁目１－８","2208540","220  ","横浜中央",0,0,5
14103,"(ｶﾌﾞ) ﾜｳﾜｳ･ｺﾐﾕﾆｹ-ｼﾖﾝｽﾞ","（株）　ワウワウ・コミュニケーションズ","神奈川県","横浜市西区","みなとみらい","３丁目３－１三菱重工ビル内","2208080","220  ","横浜中央",0,0,5
