12224,"ｲｵﾝ ｶﾏｶﾞﾔﾃﾝ","イオン　鎌ヶ谷店","千葉県","鎌ケ谷市","新鎌ケ谷","２－７－１","2730197","27301","鎌ケ谷",0,0,1
12224,"ｶﾏｶﾞﾔｼﾔｸｼﾖ","鎌ケ谷市役所","千葉県","鎌ケ谷市","新鎌ケ谷","２－６－１","2730195","27301","鎌ケ谷",0,0,1
12226,"ｼﾝﾆﾂﾃﾂｽﾐｷﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ ｷﾞｼﾞﾕﾂｶｲﾊﾂﾎﾝﾌﾞ","新日鐡住金　株式会社　技術開発本部","千葉県","富津市","新富","２０－１","2938511","293  ","富津",0,0,1
12236,"ｶﾄﾘｼﾔｸｼﾖ ｵﾐｶﾞﾜｼｼﾖ","香取市役所　小見川支所","千葉県","香取市","羽根川","３８","2890393","28903","小見川",0,0,1
12236,"ｶﾄﾘｼﾔｸｼﾖ ﾔﾏﾀﾞｼｼﾖ","香取市役所　山田支所","千葉県","香取市","仁良","３００番地１","2890492","28904","府馬",0,0,1
13101,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｶﾄﾞｶﾜ","株式会社　ＫＡＤＯＫＡＷＡ","東京都","千代田区","三番町","６－１","1028431","102  ","麹町",0,0,1
13102,"ｽﾐﾀﾞｺ-ﾎﾟﾚ-ｼﾖﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ","スミダコーポレーション　株式会社","東京都","中央区","日本橋蛎殻町","１－３９－５水天宮北辰ビル","1038589","103  ","日本橋",0,0,1
13102,"ｴｽｼ-ｴｽｹｲ ｶﾌﾞｼｷｶﾞｲｼﾔ","ＳＣＳＫ　株式会社","東京都","中央区","晴海","１丁目８－１２","1046241","104  ","晴海",0,0,1
13103,"ﾆﾂﾎﾟﾝﾕｳｾｲ ｶﾌﾞｼｷｶﾞｲｼﾔ ｼﾕﾄｹﾝｼｾﾂｾﾝﾀ-","日本郵政　株式会社　首都圏施設センター","東京都","港区","虎ノ門","３丁目１７番１号ＴＯＫＹＵＲＥＩＴ虎ノ門ビル７階","1058788","105  ","芝",0,0,1
13103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾋｽﾄﾘ-ﾁﾔﾝﾈﾙ･ｼﾞﾔﾊﾟﾝ","株式会社　ヒストリーチャンネル・ジャパン","東京都","港区","南青山","２丁目２７番２７号丸八青山ビル８階","1078628","107  ","赤坂",0,0,1
