13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾐｽﾞﾎｺ-ﾎﾟﾚ-ﾄｷﾞﾝｺｳ","株式会社　みずほコーポレート銀行","東京都","中央区","八重洲","１丁目２－１（日本橋郵便局私書箱第１４７号）","1038677","103  ","日本橋",1,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾘｿﾅｷﾞﾝｺｳ ﾆﾎﾝﾊﾞｼｼﾃﾝ","株式会社　りそな銀行　日本橋支店","東京都","中央区","日本橋","１丁目１１－１（日本橋郵便局私書箱第５２号）","1038675","103  ","日本橋",1,0,5
13102,"ﾄｳﾖｳﾎﾞｳｾｷ (ｶﾌﾞ) ﾄｳｷﾖｳｼｼﾔ","東洋紡績　株式会社　東京支社","東京都","中央区","日本橋小網町","１７－９","1038530","103  ","日本橋",0,0,5
13102,"ﾆﾂｼﾝﾎﾞｳ ｶﾌﾞｼｷｶﾞｲｼﾔ","日清紡　株式会社","東京都","中央区","日本橋人形町","２丁目３１－１１（日本橋郵便局私書箱第１００号）","1038650","103  ","日本橋",1,0,5
13102,"ﾉｻﾞｷｻﾝｷﾞﾖｳ (ｶﾌﾞ)","野崎産業　株式会社","東京都","中央区","日本橋馬喰町","２丁目２－６（日本橋郵便局私書箱第２８４号）","1038665","103  ","日本橋",1,0,5
13102,"ﾉﾎﾞﾉﾙﾃﾞｲｽｸﾌｱ-ﾏ ｶﾌﾞｼｷｶﾞｲｼﾔ","ノボノルディスクファーマ　株式会社","東京都","中央区","日本橋大伝馬町","５－７住友銀行人形町ビル","1038575","103  ","日本橋",0,0,5
13102,"ﾉﾑﾗｼﾖｳｹﾝ (ｶﾌﾞ)","野村証券　株式会社","東京都","中央区","日本橋","１丁目９－１","1038011","103  ","日本橋",0,0,5
13102,"ﾋﾉｼﾞﾄﾞｳｼﾔｺｳｷﾞﾖｳ ｶﾌﾞｼｷｶﾞｲｼﾔ","日野自動車工業　株式会社","東京都","中央区","日本橋","１丁目７－１７","1038256","103  ","日本橋",0,0,5
13102,"ﾏﾂﾖｼｲｶｷｷ (ｶﾌﾞ)","松吉医科器機　株式会社","東京都","中央区","日本橋本町","４丁目６－６","1038444","103  ","日本橋",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾀﾞｲｼｷﾞﾝｺｳ ﾄｳｷﾖｳｼﾃﾝ","株式会社　第四銀行　東京支店","東京都","中央区","日本橋室町","１丁目６－５（日本橋郵便局私書箱第２０号）","1038644","10391","日本橋",1,0,5
13102,"ｻﾄｳｺｳｷﾞﾖｳ ｶﾌﾞｼｷｶﾞｲｼﾔ","佐藤工業　株式会社","東京都","中央区","日本橋本町","４丁目１２－１９（日本橋郵便局私書箱第９３号）","1038639","10391","日本橋",1,0,5
13102,"ﾆﾎﾝｶﾐﾊﾟﾙﾌﾟｼﾖｳｼﾞ ｶﾌﾞｼｷｶﾞｲｼﾔ","日本紙パルプ商事　株式会社","東京都","中央区","日本橋本石町","４丁目６－１１（日本橋郵便局私書箱第７７号）","1038641","10391","日本橋",1,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾃﾞﾂｸ","株式会社　ディック","東京都","中央区","銀座","６丁目３－１２数寄屋ビル８Ｆ（神田郵便局私書箱第２０号）","1018665","104  ","神田",1,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾃﾞﾝﾂｳﾃﾂｸ","株式会社　電通テック","東京都","中央区","築地","１丁目１１－１０","1048411","104  ","晴海",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾃﾞﾝﾂｳﾜ-ｸｽ","株式会社　電通ワークス","東京都","中央区","銀座","２丁目１６－７","1048106","104  ","晴海",0,0,5
13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾋｻﾔﾀﾞｲｺｸﾄﾞｳ","株式会社　ヒサヤ大黒堂","東京都","中央区","銀座","１丁目６－１","1048240","104  ","晴海",0,0,5
