13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾋﾟ-ｴｽﾐﾂﾋﾞｼ ﾄｳｷﾖｳﾄﾞﾎﾞｸ･ｹﾝﾁｸｼﾃﾝ","株式会社　ピーエス三菱　東京土木・建築支店","東京都","中央区","晴海","２丁目５－２４晴海センタービル２階","1048572","104  ","晴海",0,0,1
13102,"ｷﾞﾝｻﾞﾕｳﾋﾞﾝｷﾖｸ","銀座郵便局","東京都","中央区","銀座","８丁目２０－２６","1008799","104  ","銀座",0,0,1
13102,"ｺｳﾜｿｳﾔｸ ｶﾌﾞｼｷｶﾞｲｼﾔ","興和創薬　株式会社","東京都","中央区","築地","５丁目４－１４住友築地ビル","1048448","104  ","晴海",0,0,1
13102,"ｼﾐｽﾞｹﾝｾﾂ ｶﾌﾞｼｷｶﾞｲｼﾔ","清水建設　株式会社","東京都","中央区","京橋","２丁目１６番１号","1048370","104  ","晴海",0,0,1
13102,"ｼﾞｴｲｴｽｱ-ﾙ ｶﾌﾞｼｷｶﾞｲｼﾔ","ＪＳＲ　株式会社","東京都","中央区","築地","２丁目１１－２４","1048410","104  ","晴海",0,0,1
13102,"ｽﾐﾄﾓｼﾖｳｼﾞ ｶﾌﾞｼｷｶﾞｲｼﾔ","住友商事　株式会社","東京都","中央区","晴海","１－８－１１竹橋ビル（銀座郵便局私書箱第１２４号）","1008601","104  ","銀座",1,0,1
13102,"ﾀｲｾｲﾛﾃﾂｸ ｶﾌﾞｼｷｶﾞｲｼﾔ","大成ロテック　株式会社","東京都","中央区","京橋","３丁目１３－１有楽ビル","1048383","104  ","晴海",0,0,1
13103,"ｵﾘﾂｸｽ ｶﾌﾞｼｷｶﾞｲｼﾔ","オリックス　株式会社","東京都","港区","芝","３丁目２２－８（芝郵便局私書箱第８号）","1058683","105  ","芝",1,0,1
13103,"ｶﾀｵｶﾌﾞﾂｻﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ","片岡物産　株式会社","東京都","港区","新橋","６丁目２１－６","1058615","105  ","芝",0,0,1
13103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｱｼｴﾂﾄ ﾌｼﾞﾝｶﾞﾎｳｼﾔ","株式会社　アシェット　婦人画報社","東京都","港区","虎ノ門","１丁目２６－５虎ノ門１７森ビル５階（芝郵便局私書箱第３８号）","1058680","105  ","芝",1,0,1
13103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｶﾅﾃﾞﾝ","株式会社　カナデン","東京都","港区","新橋","４丁目２２－４（芝郵便局私書箱第２号）","1058687","105  ","芝",1,0,1
13103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｸﾞﾙﾒｷﾈﾔ ﾄｳｷﾖｳｼｼﾔ","株式会社　グルメ杵屋　東京支社","東京都","港区","浜松町","２丁目１３－１０","1058468","105  ","芝",0,0,1
13103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｼﾖｳｾﾝﾐﾂｲ","株式会社　商船三井","東京都","港区","虎ノ門","２丁目１－１（芝郵便局私書箱第５号）","1058688","105  ","芝",1,0,1
13103,"ｷｷﾞﾖｳﾈﾝｷﾝﾚﾝｺﾞｳｶｲ","企業年金連合会","東京都","港区","芝公園","２丁目４－１秀和芝パークビルＢ館１０階（芝郵便局私書箱第５４号）","1058701","105  ","芝",1,0,1
13103,"ｷｷﾞﾖｳﾈﾝｷﾝﾚﾝｺﾞｳｶｲ","企業年金連合会","東京都","港区","芝公園","２丁目４－１秀和芝パークビルＢ館１０階（芝郵便局私書箱第６３号）","1058702","105  ","芝",1,0,1
13103,"ｼﾖｳｺｳｸﾐｱｲﾁﾕｳｵｳｷﾝｺ ﾄｳｷﾖｳｼﾃﾝ","商工組合中央金庫　東京支店","東京都","港区","芝大門","２丁目１２－１８（芝郵便局私書箱第２６３号）","1058689","105  ","芝",1,0,1
13103,"ｽﾐﾄﾓｷﾝｿﾞｸｺｳｻﾞﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ","住友金属鉱山　株式会社","東京都","港区","新橋","５丁目１１－３（芝郵便局私書箱第２６号）","1058716","105  ","芝",1,0,1
13103,"ｾｲｺ-ｸﾛﾂｸ ｶﾌﾞｼｷｶﾞｲｼﾔ","セイコークロック　株式会社","東京都","港区","芝浦","１丁目２－１シーハンスＮ館","1058469","105  ","銀座",0,0,1
13103,"ﾄ-ﾄ- ｴﾝｼﾞﾆｱﾘﾝｸﾞ ｶﾌﾞｼｷｶﾞｲｼﾔ","ＴＯＴＯ　エンジニアリング　株式会社","東京都","港区","海岸","１－２－２０","1058307","105  ","銀座",0,0,1
13103,"ﾄ-ﾄ- ｶﾌﾞｼｷｶﾞｲｼﾔ","ＴＯＴＯ　株式会社","東京都","港区","海岸","１－２－２０","1058305","105  ","銀座",0,0,1
13103,"ﾄ-ﾄ- ﾒﾝﾃﾅﾝｽ ｶﾌﾞｼｷｶﾞｲｼﾔ","ＴＯＴＯ　メンテナンス　株式会社","東京都","港区","海岸","１－２－２０","1058306","105  ","銀座",0,0,1
13103,"ﾄﾞｸﾘﾂｷﾞﾖｳｾｲﾎｳｼﾞﾝ ﾃﾂﾄﾞｳｹﾝｾﾂ･ｳﾝﾕｼｾﾂｾｲﾋﾞｼｴﾝｷｺｳ ｺｸﾃﾂｾｲｻﾝｼﾞｷﾞﾖｳﾎﾝﾌﾞ","独立行政法人　鉄道建設・運輸施設整備支援機構　国鉄精算事業本部","東京都","港区","西新橋","２丁目８－６住友不動産日比谷ビル","1058434","105  ","芝",0,0,1
13103,"ﾐﾂｲﾉｳﾘﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ","三井農林　株式会社","東京都","港区","西新橋","１丁目２－９日比谷セントラルビル","1058427","105  ","芝",0,0,1
