13103,"ｱﾒﾘｶﾝﾎ-ﾑｲﾘﾖｳ･ｿﾝｶﾞｲﾎｹﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ(ｱﾒﾘｶﾝﾎ-ﾑﾎｹﾝｶﾞｲｼﾔ)","アメリカンホーム医療・損害保険　株式会社（アメリカンホーム保険会社）","東京都","港区","虎ノ門","４－３－２０","1058403","105  ","芝",0,0,1
13103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｵ-ｸﾈﾂﾄ","株式会社　オークネット","東京都","港区","北青山","２－５－８","1078349","107  ","赤坂",0,0,1
13104,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｻﾝｴｲｼﾖﾎﾞｳ","株式会社　三栄書房","東京都","新宿区","新宿","６－２７－３０新宿イーストサイドスクエア７Ｆ","1608461","160  ","新宿",0,0,1
13104,"ｹ-ｵ-ﾃﾞﾝﾀﾙ ｶﾌﾞｼｷｶｲｼﾔ","ケーオーデンタル　株式会社","東京都","新宿区","西新宿","１－２６－２新宿野村ビル１９階（新宿野村ビル内郵便局私書箱第３０７４号）","1630553","163  ","新宿",1,0,1
13108,"ｴﾇｲ-ｼ-ｿﾘﾕ-ｼﾖﾝｲﾉﾍﾞ-ﾀ ｶﾌﾞｼｷｶﾞｲｼﾔ","ＮＥＣソリューションイノベータ　株式会社","東京都","江東区","新木場","１丁目１８番７号","1368627","136  ","城東",0,0,1
13108,"ｴﾇｲ-ｼ-ｿﾘﾕ-ｼﾖﾝｲﾉﾍﾞ-ﾀ ｶﾌﾞｼｷｶﾞｲｼﾔ","ＮＥＣソリューションイノベータ　株式会社","東京都","江東区","新木場","１丁目１８番６号","1368608","136  ","城東",0,0,1
13108,"ｻｶﾞﾜｷﾕｳﾋﾞﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾄｳｷﾖｳﾎﾝｼﾔ","佐川急便　株式会社　東京本社","東京都","江東区","新砂","２丁目２番８号","1368888","136  ","城東",0,0,1
13108,"ﾏﾙｾﾞﾝｼﾖｳｼﾞ ｶﾌﾞｼｷｶﾞｲｼﾔ","マルゼン商事　株式会社","東京都","江東区","南砂","３丁目３－４同興ビル３階","1368668","136  ","城東",0,0,1
13115,"ｱｲﾃﾞﾂｸｽﾗﾎﾞﾗﾄﾘ-ｽﾞ ｶﾌﾞｼｷｶﾞｲｼﾔ","アイデックスラボラトリーズ　株式会社","東京都","杉並区","和泉","１－２２－１９－２Ｆ","1688608","168  ","杉並南",0,0,1
13119,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｴﾙｴｽｱｲﾒﾃﾞｲｴﾝｽ","株式会社　ＬＳＩメディエンス","東京都","板橋区","志村","３－３０－１","1748555","174  ","板橋北",0,0,1
13123,"ﾄｳｷﾖｳﾄｶｻｲﾘﾝｶｲｽｲｿﾞｸｴﾝ","東京都葛西臨海水族園","東京都","江戸川区","臨海町","６－２－３","1348587","134  ","葛西",0,0,1
13201,"ﾊﾁｵｳｼﾞｶﾝｲｻｲﾊﾞﾝｼﾖ","八王子簡易裁判所","東京都","八王子市","明神町","４丁目２１－１","1928516","192  ","八王子",0,0,1
14104,"ｶﾅｶﾞﾜｹﾝ ﾖｺﾊﾏｹﾝｾﾞｲｼﾞﾑｼﾖ","神奈川県　横浜県税事務所","神奈川県","横浜市中区","山下町","７５","2318555","231  ","横浜港",0,0,1
14104,"ｶﾌﾞｼｷｶｲｼﾔ ﾆﾂｼﾝ","株式会社　日新","神奈川県","横浜市中区","尾上町","６－８１","2318477","231  ","横浜港",0,0,1
14104,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾄｳｼﾊﾞ ｶﾅｶﾞﾜｼﾃﾝ","株式会社　東芝　神奈川支店","神奈川県","横浜市中区","不老町","１丁目１－５横浜東芝ビル５Ｆ","2318464","231  ","横浜港",0,0,1
14132,"ｷﾔﾉﾝ ｶﾌﾞｼｷｶｲｼﾔ ｶﾜｻｷｼﾞｷﾞﾖｳｼﾖ","キヤノン　株式会社　川崎事業所","神奈川県","川崎市幸区","柳町","７０－１","2128602","212  ","川崎港",0,0,1
