23104,"ﾏﾙｶﾜｾｲｶ ｶﾌﾞｼｷｶﾞｲｼﾔ","丸川製菓　株式会社","愛知県","名古屋市西区","新道","１丁目９－９","4518571","451  ","名古屋西",0,0,1
23104,"ﾐﾂﾋﾞｼﾃﾞﾝｷ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾁﾕｳﾌﾞｼｼﾔ","三菱電機　株式会社　中部支社","愛知県","名古屋市西区","牛島町","６－１名古屋ルーセントタワー３４Ｆ","4518522","451  ","名古屋西",0,0,1
23104,"ﾒｲﾃﾂﾋﾞﾖｳｲﾝ","名鉄病院","愛知県","名古屋市西区","栄生","２丁目２６－１１","4518511","451  ","名古屋西",0,0,1
23104,"ﾒｲﾄｳｻﾝｷﾞﾖｳ ｶﾌﾞｼｷｶﾞｲｼﾔ","名糖産業　株式会社","愛知県","名古屋市西区","笹塚町","２丁目４１番地","4518520","451  ","名古屋西",0,0,1
23104,"ﾔﾏｻﾞｷｾｲﾊﾟﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾅｺﾞﾔｺｳｼﾞﾖｳ","山崎製パン　株式会社　名古屋工場","愛知県","名古屋市西区","玉池町","３６","4518565","451  ","名古屋西",0,0,1
23104,"ﾐﾕｷﾎ-ﾙﾃﾞｲﾝｸﾞｽ ｶﾌﾞｼｷｶﾞｲｼﾔ","御幸ホールディングス　株式会社","愛知県","名古屋市西区","市場木町","３９０番地","4528570","452  ","名古屋西",0,0,1
23105,"ｶﾌﾞｼｷｶｲｼﾔ ﾕｳﾁﾖｷﾞﾝｺｳ ﾄｳｶｲｴﾘｱﾎﾝﾌﾞ","株式会社　ゆうちょ銀行　東海エリア本部","愛知県","名古屋市中村区","名駅","一丁目１番１号ＪＰタワー名古屋","4508995","450  ","名古屋西",0,0,1
23105,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｴﾃﾞｲｵﾝ","株式会社　エディオン","愛知県","名古屋市中村区","名駅南","２－１－１８","4508511","450  ","名古屋西",0,0,1
23105,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｸﾚﾃﾞｲｾｿﾞﾝ ﾄｳｶｲｼﾃﾝ","株式会社　クレディセゾン　東海支店","愛知県","名古屋市中村区","名駅南","１丁目１７－２９広小路ＥＳビル３階","4508765","450  ","名古屋西",0,0,1
23105,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｼﾞｴｲﾃｸﾄ ﾅｺﾞﾔﾎﾝｼﾔ","株式会社　ジェイテクト　名古屋本社","愛知県","名古屋市中村区","名駅","４丁目７番１号","4508515","450  ","名古屋西",0,0,1
